Session,Session Date,Session Title / Poster Group,Start Time,Stop Time,# of Papers,Session Chairs,Session Order,Poster ID,Paper ID,Title (Corrected),Authors (Corrected)
,,,,,,,18,72a,3915,Incremental Transformer Structure Enhanced Image Inpainting With Masking Positional Encoding,Qiaole Dong; Chenjie Cao; Yanwei Fu
,,,,,,,19,73a,1698,UniCoRN: A Unified Conditional Image Repainting Network,Jimeng Sun; Shuchen Weng; Zheng Chang; Si Li; Boxin Shi
,,,,,,,20,74a,6522,High-Fidelity GAN Inversion for Image Attribute Editing,Tengfei Wang; Yong Zhang; Yanbo Fan; Jue Wang; Qifeng Chen
,,,,,,,21,75a,7543,HyperInverter: Improving StyleGAN Inversion via Hypernetwork,Tan M. Dinh; Anh Tuan Tran; Rang Nguyen; Binh-Son Hua
,,,,,,,22,76a,709,Spatially-Adaptive Multilayer Selection for GAN Inversion and Editing,Gaurav Parmar; Yijun Li; Jingwan Lu; Richard Zhang; Jun-Yan Zhu; Krishna Kumar Singh
,,,,,,,23,77a,710,On Aliased Resizing and Surprising Subtleties in GAN Evaluation,Gaurav Parmar; Richard Zhang; Jun-Yan Zhu
,,,,,,,24,78a,924,Dual-Path Image Inpainting With Auxiliary GAN Inversion,Wentao Wang; Li Niu; Jianfu Zhang; Xue Yang; Liqing Zhang
,,,,,,,25,79a,5449,InOut: Diverse Image Outpainting via GAN Inversion,Yen-Chi Cheng; Chieh Hubert Lin; Hsin-Ying Lee; Jian Ren; Sergey Tulyakov; Ming-Hsuan Yang
,,,,,,,26,80a,7367,Diverse Plausible 360-Degree Image Outpainting for Efficient 3DCG Background Creation,Naofumi Akimoto; Yuhi Matsuo; Yoshimitsu Aoki
,,,,,,,27,81a,5326,Contextual Outpainting With Object-Level Contrastive Learning,Jiacheng Li; Chang Chen; Zhiwei Xiong
,,,,,,,28,82a,5974,RePaint: Inpainting Using Denoising Diffusion Probabilistic Models,Andreas Lugmayr; Martin Danelljan; Andres Romero; Fisher Yu; Radu Timofte; Luc Van Gool
,,,,,,,29,83a,5279,Perception Prioritized Training of Diffusion Models,Jooyoung Choi; Jungbeom Lee; Chaehun Shin; Sungwon Kim; Hyunwoo Kim; Sungroh Yoon
,,,,,,,30,84a,4808,Dynamic Dual-Output Diffusion Models,Yaniv Benny; Lior Wolf
,,,,,,,31,85a,7054,Generating High Fidelity Data From Low-Density Regions Using Diffusion Models,Vikash Sehwag; Caner Hazirbas; Albert Gordo; Firat Ozgenel; Cristian Canton
,,,,,,,32,86a,3206,Global Context With Discrete Diffusion in Vector Quantised Modelling for Image Generation,Minghui Hu; Yujie Wang; Tat-Jen Cham; Jianfei Yang; P.N. Suganthan
,,,,,,,33,87a,3539,Bridging Global Context Interactions for High-Fidelity Image Completion,Chuanxia Zheng; Tat-Jen Cham; Jianfei Cai; Dinh Phung
,,,,,,,34,88a,10217,Autoregressive Image Generation Using Residual Quantization,Doyup Lee; Chiheon Kim; Saehoon Kim; Minsu Cho; Wook-Shin Han
,,,,,,,35,89a,6259,Arbitrary-Scale Image Synthesis,Evangelos Ntavelis; Mohamad Shahbazi; Iason Kastanis; Radu Timofte; Martin Danelljan; Luc Van Gool
,,,,,,,36,90a,11340,Cluster-Guided Image Synthesis With Unconditional Models,Markos Georgopoulos; James Oldfield; Grigorios G. Chrysos; Yannis Panagakis
,,"Segmentation, Grouping and Shape Analysis",,,,,37,91a,6126,Dynamic Prototype Convolution Network for Few-Shot Semantic Segmentation,Jie Liu; Yanqi Bao; Guo-Sen Xie; Huan Xiong; Jan-Jakob Sonke; Efstratios Gavves
,,,,,,,38,92a,2899,Generalized Few-Shot Semantic Segmentation,Zhuotao Tian; Xin Lai; Li Jiang; Shu Liu; Michelle Shu; Hengshuang Zhao; Jiaya Jia
,,,,,,,39,93a,9018,Learning Non-Target Knowledge for Few-Shot Semantic Segmentation,Yuanwei Liu; Nian Liu; Qinglong Cao; Xiwen Yao; Junwei Han; Ling Shao
,,,,,,,40,94a,4783,Decoupling Zero-Shot Semantic Segmentation,Jian Ding; Nan Xue; Gui-Song Xia; Dengxin Dai
,,,,,,,41,95a,1590,Class-Balanced Pixel-Level Self-Labeling for Domain Adaptive Semantic Segmentation,Ruihuang Li; Shuai Li; Chenhang He; Yabin Zhang; Xu Jia; Lei Zhang
,,,,,,,42,96a,1034,ContrastMask: Contrastive Learning To Segment Every Thing,Xuehui Wang; Kai Zhao; Ruixin Zhang; Shouhong Ding; Yan Wang; Wei Shen
,,,,,,,43,97a,7789,The Neurally-Guided Shape Parser: Grammar-Based Labeling of 3D Shape Regions With Approximate Inference,R. Kenny Jones; Aalia Habib; Rana Hanocka; Daniel Ritchie
,,,,,,,44,98a,2539,AutoGPart: Intermediate Supervision Search for Generalizable 3D Part Segmentation,Xueyi Liu; Xiaomeng Xu; Anyi Rao; Chuang Gan; Li Yi
,,,,,,,45,99a,1707,APES: Articulated Part Extraction From Sprite Sheets,Zhan Xu; Matthew Fisher; Yang Zhou; Deepali Aneja; Rushikesh Dudhat; Li Yi; Evangelos Kalogerakis
,,,,,,,46,100a,2544,"GASP, a Generalized Framework for Agglomerative Clustering of Signed Graphs and Its Application to Instance Segmentation",Alberto Bailoni; Constantin Pape; Nathan Hütsch; Steffen Wolf; Thorsten Beier; Anna Kreshuk; Fred A. Hamprecht
,,,,,,,47,101a,6790,CycleMix: A Holistic Strategy for Medical Image Segmentation From Scribble Supervision,Ke Zhang; Xiahai Zhuang
,,,,,,,48,102a,5602,Cross-Patch Dense Contrastive Learning for Semi-Supervised Segmentation of Cellular Nuclei in Histopathologic Images,Huisi Wu; Zhaoze Wang; Youyi Song; Lin Yang; Jing Qin
,,,,,,,49,103a,3446,C-CAM: Causal CAM for Weakly Supervised Semantic Segmentation on Medical Image,Zhang Chen; Zhiqiang Tian; Jihua Zhu; Ce Li; Shaoyi Du
,,,,,,,50,104a,6268,CRIS: CLIP-Driven Referring Image Segmentation,Zhaoqing Wang; Yu Lu; Qiang Li; Xunqiang Tao; Yandong Guo; Mingming Gong; Tongliang Liu
,,,,,,,51,105a,7820,MatteFormer: Transformer-Based Image Matting via Prior-Tokens,GyuTae Park; SungJoon Son; JaeYoung Yoo; SeHo Kim; Nojun Kwak
,,,,,,,52,106a,3851,Boosting Robustness of Image Matting With Context Assembling and Strong Data Augmentation,Yutong Dai; Brian Price; He Zhang; Chunhua Shen
,,,,,,,53,107a,3405,Pyramid Grafting Network for One-Stage High Resolution Saliency Detection,Chenxi Xie; Changqun Xia; Mingcan Ma; Zhirui Zhao; Xiaowu Chen; Jia Li
,,,,,,,54,108a,2123,Multi-Source Uncertainty Mining for Deep Unsupervised Saliency Detection,Yifan Wang; Wenbo Zhang; Lijun Wang; Ting Liu; Huchuan Lu
,,,,,,,55,109a,4573,Modeling Motion With Multi-Modal Features for Text-Based Video Segmentation,Wangbo Zhao; Kai Wang; Xiangxiang Chu; Fuzhao Xue; Xinchao Wang; Yang You
,,,,,,,56,110a,5002,GAT-CADNet: Graph Attention Network for Panoptic Symbol Spotting in CAD Drawings,Zhaohua Zheng; Jianfang Li; Lingjie Zhu; Honghua Li; Frank Petzold; Ping Tan
,,,,,,,57,111a,587,Bending Graphs: Hierarchical Shape Matching Using Gated Optimal Transport,Mahdi Saleh; Shun-Cheng Wu; Luca Cosmo; Nassir Navab; Benjamin Busam; Federico Tombari
,,,,,,,58,112a,3312,CAPRI-Net: Learning Compact CAD Shapes With Adaptive Primitive Assembly,Fenggen Yu; Zhiqin Chen; Manyi Li; Aditya Sanghi; Hooman Shayani; Ali Mahdavi-Amiri; Hao Zhang
,,,,,,,59,113a,1743,RIM-Net: Recursive Implicit Fields for Unsupervised Learning of Hierarchical Shape Structures,Chengjie Niu; Manyi Li; Kai Xu; Hao Zhang
,,,,,,,60,114a,3978,Discovering Objects That Can Move,Zhipeng Bao; Pavel Tokmakov; Allan Jabri; Yu-Xiong Wang; Adrien Gaidon; Martial Hebert
,,,,,,,61,115a,2604,PatchFormer: An Efficient Point Transformer With Patch Attention,Cheng Zhang; Haocheng Wan; Xinyi Shen; Zizhao Wu
,,,,,,,62,116a,4099,Panoptic-PHNet: Towards Real-Time and High-Precision LiDAR Panoptic Segmentation via Clustering Pseudo Heatmap,Jinke Li; Xiao He; Yang Wen; Yuan Gao; Xiaoqiang Cheng; Dan Zhang
,,,,,,,63,117a,3933,SemAffiNet: Semantic-Affine Transformation for Point Cloud Segmentation,Ziyi Wang; Yongming Rao; Xumin Yu; Jie Zhou; Jiwen Lu
,,,,,,,64,118a,4983,An MIL-Derived Transformer for Weakly Supervised Point Cloud Segmentation,Cheng-Kun Yang; Ji-Jia Wu; Kai-Syun Chen; Yung-Yu Chuang; Yen-Yu Lin
,,,,,,,65,119a,7469,Weakly Supervised Segmentation on Outdoor 4D Point Clouds With Temporal Matching and Spatial Graph Propagation,Hanyu Shi; Jiacheng Wei; Ruibo Li; Fayao Liu; Guosheng Lin
,,,,,,,66,120a,4583,Point2Cyl: Reverse Engineering 3D Objects From Point Clouds to Extrusion Cylinders,Mikaela Angelina Uy; Yen-Yu Chang; Minhyuk Sung; Purvi Goel; Joseph G. Lambourne; Tolga Birdal; Leonidas J. Guibas
,,Deep Learning Architectures & Techniques,,,,,67,121a,116,Demystifying the Neural Tangent Kernel From a Practical Perspective: Can It Be Trusted for Neural Architecture Search Without Training?,Jisoo Mok; Byunggook Na; Ji-Hoon Kim; Dongyoon Han; Sungroh Yoon
,,,,,,,68,122a,5389,BaLeNAS: Differentiable Architecture Search via the Bayesian Learning Rule,Miao Zhang; Shirui Pan; Xiaojun Chang; Steven Su; Jilin Hu; Gholamreza (Reza) Haffari; Bin Yang
,,,,,,,69,123a,7704,Arch-Graph: Acyclic Architecture Relation Predictor for Task-Transferable Neural Architecture Search,Minbin Huang; Zhijian Huang; Changlin Li; Xin Chen; Hang Xu; Zhenguo Li; Xiaodan Liang
,,,,,,,70,124a,4143,Shapley-NAS: Discovering Operation Contribution for Neural Architecture Search,Han Xiao; Ziwei Wang; Zheng Zhu; Jie Zhou; Jiwen Lu
,,,,,,,71,125a,5167,GreedyNASv2: Greedier Search With a Greedy Path Filter,Tao Huang; Shan You; Fei Wang; Chen Qian; Changshui Zhang; Xiaogang Wang; Chang Xu
,,,,,,,72,126a,1115,Neural Architecture Search With Representation Mutual Information,Xiawu Zheng; Xiang Fei; Lei Zhang; Chenglin Wu; Fei Chao; Jianzhuang Liu; Wei Zeng; Yonghong Tian; Rongrong Ji
,,,,,,,73,127a,7148,Performance-Aware Mutual Knowledge Distillation for Improving Neural Architecture Search,Pengtao Xie; Xuefeng Du
,,,,,,,74,128a,8841,Knowledge Distillation With the Reused Teacher Classifier,Defang Chen; Jian-Ping Mei; Hailin Zhang; Can Wang; Yan Feng; Chun Chen
,,,,,,,75,129a,2812,Self-Distillation From the Last Mini-Batch for Consistency Regularization,Yiqing Shen; Liwu Xu; Yuzhe Yang; Yaqian Li; Yandong Guo
,,,,,,,76,130a,142,Decoupled Knowledge Distillation,Borui Zhao; Quan Cui; Renjie Song; Yiyu Qiu; Jiajun Liang
,,,,,,,77,131a,7053,Scaling Up Your Kernels to 31x31: Revisiting Large Kernel Design in CNNs,Xiaohan Ding; Xiangyu Zhang; Jungong Han; Guiguang Ding
,,,,,,,78,132a,123,A ConvNet for the 2020s,Zhuang Liu; Hanzi Mao; Chao-Yuan Wu; Christoph Feichtenhofer; Trevor Darrell; Saining Xie
,,,,,,,79,133a,7254,Beyond Fixation: Dynamic Window Visual Transformer,Pengzhen Ren; Changlin Li; Guangrun Wang; Yun Xiao; Qing Du; Xiaodan Liang; Xiaojun Chang
,,,,,,,80,134a,7867,Lite Vision Transformer With Enhanced Self-Attention,Chenglin Yang; Yilin Wang; Jianming Zhang; He Zhang; Zijun Wei; Zhe Lin; Alan Yuille
,,,,,,,81,135a,7428,Swin Transformer V2: Scaling Up Capacity and Resolution,Ze Liu; Han Hu; Yutong Lin; Zhuliang Yao; Zhenda Xie; Yixuan Wei; Jia Ning; Yue Cao; Zheng Zhang; Li Dong; Furu Wei; Baining Guo
,,,,,,,82,136a,4325,The Principle of Diversity: Training Stronger Vision Transformers Calls for Reducing All Levels of Redundancy,Tianlong Chen; Zhenyu Zhang; Yu Cheng; Ahmed Awadallah; Zhangyang Wang
,,,,,,,83,137a,9412,MulT: An End-to-End Multitask Learning Transformer,Deblina Bhattacharjee; Tong Zhang; Sabine Süsstrunk; Mathieu Salzmann
,,,,,,,84,138a,3664,Towards Robust Vision Transformer,Xiaofeng Mao; Gege Qi; Yuefeng Chen; Xiaodan Li; Ranjie Duan; Shaokai Ye; Yuan He; Hui Xue
,,,,,,,85,139a,9773,DearKD: Data-Efficient Early Knowledge Distillation for Vision Transformers,Xianing Chen; Qiong Cao; Yujie Zhong; Jing Zhang; Shenghua Gao; Dacheng Tao
,,,,,,,86,140a,2434,MSG-Transformer: Exchanging Local Spatial Information by Manipulating Messenger Tokens,Jiemin Fang; Lingxi Xie; Xinggang Wang; Xiaopeng Zhang; Wenyu Liu; Qi Tian
,,,,,,,87,141a,1032,NomMer: Nominate Synergistic Context in Vision Transformer for Visual Recognition,Hao Liu; Xinghua Jiang; Xin Li; Zhimin Bao; Deqiang Jiang; Bo Ren
,,,,,,,88,142a,2029,TopFormer: Token Pyramid Transformer for Mobile Semantic Segmentation,Wenqiang Zhang; Zilong Huang; Guozhong Luo; Tao Chen; Xinggang Wang; Wenyu Liu; Gang Yu; Chunhua Shen
,,,,,,,89,143a,4853,Multi-Scale High-Resolution Vision Transformer for Semantic Segmentation,Jiaqi Gu; Hyoukjun Kwon; Dilin Wang; Wei Ye; Meng Li; Yu-Hsin Chen; Liangzhen Lai; Vikas Chandra; David Z. Pan
,,,,,,,90,144a,10350,Scaling Vision Transformers,Xiaohua Zhai; Alexander Kolesnikov; Neil Houlsby; Lucas Beyer
,,,,,,,91,145a,7298,Bridged Transformer for Vision and Point Cloud 3D Object Detection,Yikai Wang; TengQi Ye; Lele Cao; Wenbing Huang; Fuchun Sun; Fengxiang He; Dacheng Tao
,,,,,,,92,146a,1981,CSWin Transformer: A General Vision Transformer Backbone With Cross-Shaped Windows,Xiaoyi Dong; Jianmin Bao; Dongdong Chen; Weiming Zhang; Nenghai Yu; Lu Yuan; Dong Chen; Baining Guo
,,,,,,,93,147a,3562,TransMix: Attend To Mix for Vision Transformers,Jie-Neng Chen; Shuyang Sun; Ju He; Philip H.S. Torr; Alan Yuille; Song Bai
,,,,,,,94,148a,2388,MiniViT: Compressing Vision Transformers With Weight Multiplexing,Jinnian Zhang; Houwen Peng; Kan Wu; Mengchen Liu; Bin Xiao; Jianlong Fu; Lu Yuan
,,,,,,,95,149a,11460,Fine-Tuning Image Transformers Using Learnable Memory,Mark Sandler; Andrey Zhmoginov; Max Vladymyrov; Andrew Jackson
,,,,,,,96,150a,4430,Patch Slimming for Efficient Vision Transformers,Yehui Tang; Kai Han; Yunhe Wang; Chang Xu; Jianyuan Guo; Chao Xu; Dacheng Tao
,,,,,,,97,151a,5093,CMT: Convolutional Neural Networks Meet Vision Transformers,Jianyuan Guo; Kai Han; Han Wu; Yehui Tang; Xinghao Chen; Yunhe Wang; Chang Xu
,,,,,,,98,152a,6795,Multimodal Token Fusion for Vision Transformers,Yikai Wang; Xinghao Chen; Lele Cao; Wenbing Huang; Fuchun Sun; Yunhe Wang
,,Efficient Learning & Inference,,,,,99,153a,5660,CAFE: Learning To Condense Dataset by Aligning Features,Kai Wang; Bo Zhao; Xiangyu Peng; Zheng Zhu; Shuo Yang; Shuo Wang; Guan Huang; Hakan Bilen; Xinchao Wang; Yang You
,,,,,,,100,154a,9135,Lite-MDETR: A Lightweight Multi-Modal Detector,Qian Lou; Yen-Chang Hsu; Burak Uzkent; Ting Hua; Yilin Shen; Hongxia Jin
,,,,,,,101,155a,703,DeeCap: Dynamic Early Exiting for Efficient Image Captioning,Zhengcong Fei; Xu Yan; Shuhui Wang; Qi Tian
,,,,,,,102,156a,10864,Searching the Deployable Convolution Neural Networks for GPUs,Linnan Wang; Chenhan Yu; Satish Salian; Slawomir Kierat; Szymon Migacz; Alex Fit Florea
,,,,,,,103,157a,6685,Active Learning by Feature Mixing,Amin Parvaneh; Ehsan Abbasnejad; Damien Teney; Gholamreza (Reza) Haffari; Anton van den Hengel; Javen Qinfeng Shi
,,,,,,,104,158a,6585,When To Prune? A Policy Towards Early Structural Pruning,Maying Shen; Pavlo Molchanov; Hongxu Yin; Jose M. Alvarez
,,,,,,,105,159a,11185,Contrastive Dual Gating: Learning Sparse Features With Contrastive Learning,Jian Meng; Li Yang; Jinwoo Shin; Deliang Fan; Jae-sun Seo
,,,,,,,106,160a,9318,How Well Do Sparse ImageNet Models Transfer?,Eugenia Iofinova; Alexandra Peste; Mark Kurtz; Dan Alistarh
,,,,,,,107,161a,9388,Rep-Net: Efficient On-Device Learning via Feature Reprogramming,Li Yang; Adnan Siraj Rakin; Deliang Fan
,,,,,,,108,162a,4954,CHEX: CHannel EXploration for CNN Model Compression,Zejiang Hou; Minghai Qin; Fei Sun; Xiaolong Ma; Kun Yuan; Yi Xu; Yen-Kuang Chen; Rong Jin; Yuan Xie; Sun-Yuan Kung
,,,,,,,109,163a,3533,HODEC: Towards Efficient High-Order DEcomposed Convolutional Neural Networks,Miao Yin; Yang Sui; Wanzhao Yang; Xiao Zang; Yu Gong; Bo Yuan
,,,,,,,110,164a,2934,AdaViT: Adaptive Vision Transformers for Efficient Image Recognition,Lingchen Meng; Hengduo Li; Bor-Chun Chen; Shiyi Lan; Zuxuan Wu; Yu-Gang Jiang; Ser-Nam Lim
,,,,,,,111,165a,1772,Cross-Image Relational Knowledge Distillation for Semantic Segmentation,Chuanguang Yang; Helong Zhou; Zhulin An; Xue Jiang; Yongjun Xu; Qian Zhang
,,,,,,,112,166a,724,Mr.BiQ: Post-Training Non-Uniform Quantization Based on Minimizing the Reconstruction Error,Yongkweon Jeon; Chungman Lee; Eulrang Cho; Yeonju Ro
,,,,,,,113,167a,3958,IntraQ: Learning Synthetic Images With Intra-Class Heterogeneity for Zero-Shot Network Quantization,Yunshan Zhong; Mingbao Lin; Gongrui Nan; Jianzhuang Liu; Baochang Zhang; Yonghong Tian; Rongrong Ji
,,,,,,,114,168a,9796,DECORE: Deep Compression With Reinforcement Learning,Manoj Alwani; Yang Wang; Vashisht Madhavan
,,,,,,,115,169a,11195,Towards Efficient and Scalable Sharpness-Aware Minimization,Yong Liu; Siqi Mai; Xiangning Chen; Cho-Jui Hsieh; Yang You
,,,,,,,116,170a,1088,AEGNN: Asynchronous Event-Based Graph Neural Networks,Simon Schaefer; Daniel Gehrig; Davide Scaramuzza
,,,,,,,117,171a,4078,DiSparse: Disentangled Sparsification for Multitask Model Compression,Xinglong Sun; Ali Hassani; Zhangyang Wang; Gao Huang; Humphrey Shi
,,,,,,,118,172a,1836,Multi-Modal Extreme Classification,Anshul Mittal; Kunal Dahiya; Shreya Malani; Janani Ramaswamy; Seba Kuruvilla; Jitendra Ajmera; Keng-hao Chang; Sumeet Agarwal; Purushottam Kar; Manik Varma
,,,,,,,119,173a,11241,A Sampling-Based Approach for Efficient Clustering in Large Datasets,Georgios Exarchakis; Omar Oubari; Gregor Lenz
,,,,,,,120,174a,11776,Come-Closer-Diffuse-Faster: Accelerating Conditional Diffusion Models for Inverse Problems Through Stochastic Contraction,Hyungjin Chung; Byeongsu Sim; Jong Chul Ye
,,,,,,,121,175a,6380,Learnable Lookup Table for Neural Network Quantization,Longguang Wang; Xiaoyu Dong; Yingqian Wang; Li Liu; Wei An; Yulan Guo
,,,,,,,122,176a,8374,Instance-Aware Dynamic Neural Network Quantization,Zhenhua Liu; Yunhe Wang; Kai Han; Siwei Ma; Wen Gao
,,,,,,,123,177a,10529,Training High-Performance Low-Latency Spiking Neural Networks by Differentiation on Spike Representation,Qingyan Meng; Mingqing Xiao; Shen Yan; Yisen Wang; Zhouchen Lin; Zhi-Quan Luo
,,,,,,,124,178a,3265,Fire Together Wire Together: A Dynamic Pruning Approach With Self-Supervised Mask Prediction,Sara Elkerdawy; Mostafa Elhoushi; Hong Zhang; Nilanjan Ray
,,,,,,,125,179a,5233,Wavelet Knowledge Distillation: Towards Efficient Image-to-Image Translation,Linfeng Zhang; Xin Chen; Xiaobing Tu; Pengfei Wan; Ning Xu; Kaisheng Ma
,,,,,,,126,180a,11646,PokeBNN: A Binary Pursuit of Lightweight Accuracy,Yichi Zhang; Zhiru Zhang; Lukasz Lew
,,,,,,,127,181a,2031,Automated Progressive Learning for Efficient Training of Vision Transformers,Changlin Li; Bohan Zhuang; Guangrun Wang; Xiaodan Liang; Xiaojun Chang; Yi Yang
,,,,,,,128,182a,1417,DeltaCNN: End-to-End CNN Inference of Sparse Frame Differences in Videos,Mathias Parger; Chengcheng Tang; Christopher D. Twigg; Cem Keskin; Robert Wang; Markus Steinberger
,,,,,,,129,183a,9190,Channel Balancing for Accurate Quantization of Winograd Convolutions,Vladimir Chikin; Vladimir Kryzhanovskiy
,,,,,,,130,184a,9054,ClusterGNN: Cluster-Based Coarse-To-Fine Graph Neural Network for Efficient Feature Matching,Yan Shi; Jun-Xiong Cai; Yoli Shavit; Tai-Jiang Mu; Wensen Feng; Kai Zhang
,,,,,,,131,185a,8230,Interspace Pruning: Using Adaptive Filter Representations To Improve Training of Sparse CNNs,Paul Wimmer; Jens Mehnert; Alexandru Condurache
,,,,,,,132,186a,4843,AlignQ: Alignment Quantization With ADMM-Based Correlation Preservation,Ting-An Chen; De-Nian Yang; Ming-Syan Chen
,,,,,,,133,187a,9210,TVConv: Efficient Translation Variant Convolution for Layout-Aware Visual Processing,Jierun Chen; Tianlang He; Weipeng Zhuo; Li Ma; Sangtae Ha; S.-H. Gary Chan
,,,,,,,134,188a,185,SplitNets: Designing Neural Architectures for Efficient Distributed Computing on Head-Mounted Systems,Xin Dong; Barbara De Salvo; Meng Li; Chiao Liu; Zhongnan Qu; H.T. Kung; Ziyun Li
,,,,,,,135,189a,6367,TO-FLOW: Efficient Continuous Normalizing Flows With Temporal Optimization Adjoint With Moving Speed,Shian Du; Yihong Luo; Wei Chen; Jian Xu; Delu Zeng
,,Physics-Based Vision and Shape-From-X,,,,,136,190a,793,DiLiGenT102: A Photometric Stereo Benchmark Dataset With Controlled Shape and Material Variation,Jieji Ren; Feishi Wang; Jiahao Zhang; Qian Zheng; Mingjun Ren; Boxin Shi
,,,,,,,137,191a,1453,Universal Photometric Stereo Network Using Global Lighting Contexts,Satoshi Ikehata
,,,,,,,138,192a,2355,Uncertainty-Aware Deep Multi-View Photometric Stereo,Berk Kaya; Suryansh Kumar; Carlos Oliveira; Vittorio Ferrari; Luc Van Gool
,,,,,,,139,193a,5441,Fast Light-Weight Near-Field Photometric Stereo,Daniel Lichy; Soumyadip Sengupta; David W. Jacobs
,,,,,,,140,194a,4990,Glass Segmentation Using Intensity and Spectral Polarization Cues,Haiyang Mei; Bo Dong; Wen Dong; Jiaxi Yang; Seung-Hwan Baek; Felix Heide; Pieter Peers; Xiaopeng Wei; Xin Yang
,,,,,,,141,195a,1557,Shape From Polarization for Complex Scenes in the Wild,Chenyang Lei; Chenyang Qi; Jiaxin Xie; Na Fan; Vladlen Koltun; Qifeng Chen
,,,,,,,142,196a,6107,Deep Depth From Focus With Differential Focus Volume,Fengting Yang; Xiaolei Huang; Zihan Zhou
,,,,,,,143,197a,7381,Optimal LED Spectral Multiplexing for NIR2RGB Translation,Lei Liu; Yuze Chen; Junchi Yan; Yinqiang Zheng
,,,,,,,144,198a,8076,Shape From Thermal Radiation: Passive Ranging Using Multi-Spectral LWIR Measurements,Yasuto Nagase; Takahiro Kushida; Kenichiro Tanaka; Takuya Funatomi; Yasuhiro Mukaigawa
,,,,,,,145,199a,8196,NAN: Noise-Aware NeRFs for Burst-Denoising,Naama Pearl; Tali Treibitz; Simon Korman
,,,,,,,146,200a,3129,Estimating Fine-Grained Noise Model via Contrastive Learning,Yunhao Zou; Ying Fu
,,,,,,,147,201a,11094,Real-Time Hyperspectral Imaging in Hardware via Trained Metasurface Encoders,Maksim Makarenko; Arturo Burguete-Lopez; Qizhou Wang; Fedor Getman; Silvio Giancola; Bernard Ghanem; Andrea Fratalocchi
,,,,,,,148,202a,1021,MNSRNet: Multimodal Transformer Network for 3D Surface Super-Resolution,Wuyuan Xie; Tengcong Huang; Miaohui Wang
,,,,,,,149,203a,6350,PhyIR: Physics-Based Inverse Rendering for Panoramic Indoor Images,Zhen Li; Lingli Wang; Xiang Huang; Cihui Pan; Jiaqi Yang
,,Visual Reasoning,,,,,150,204a,10159,Neural Shape Mating: Self-Supervised Object Assembly With Adversarial Shape Priors,Yun-Chun Chen; Haoda Li; Dylan Turpin; Alec Jacobson; Animesh Garg
,,,,,,,151,205a,1531,Learning To Anticipate Future With Dynamic Context Removal,Xinyu Xu; Yong-Lu Li; Cewu Lu
,,,,,,,152,206a,11115,Self-Supervised Spatial Reasoning on Multi-View Line Drawings,Siyuan Xiang; Anbang Yang; Yanfei Xue; Yaoqing Yang; Chen Feng
,,,,,,,153,207a,5634,Contextual Debiasing for Visual Recognition With Causal Mechanisms,Ruyang Liu; Hao Liu; Ge Li; Haodi Hou; TingHao Yu; Tao Yang
,,3D From Multi-View & Sensors,,,,,154,208a,6991,Relative Pose From a Calibrated and an Uncalibrated Smartphone Image,Yaqing Ding; Daniel Barath; Jian Yang; Zuzana Kukelova
,,,,,,,155,209a,2681,Exploiting Rigidity Constraints for LiDAR Scene Flow Estimation,Guanting Dong; Yueyi Zhang; Hanlin Li; Xiaoyan Sun; Zhiwei Xiong
,,,,,,,156,210a,6327,NICE-SLAM: Neural Implicit Scalable Encoding for SLAM,Zihan Zhu; Songyou Peng; Viktor Larsson; Weiwei Xu; Hujun Bao; Zhaopeng Cui; Martin R. Oswald; Marc Pollefeys
,,,,,,,157,211a,5941,NinjaDesc: Content-Concealing Visual Descriptors via Adversarial Learning,Tony Ng; Hyo Jin Kim; Vincent T. Lee; Daniel DeTone; Tsun-Yi Yang; Tianwei Shen; Eddy Ilg; Vassileios Balntas; Krystian Mikolajczyk; Chris Sweeney
,,,,,,,158,212a,1614,ScaleNet: A Shallow Architecture for Scale Estimation,Axel Barroso-Laguna; Yurun Tian; Krystian Mikolajczyk
,,,,,,,159,213a,8467,Camera Pose Estimation Using Implicit Distortion Models,Linfei Pan; Marc Pollefeys; Viktor Larsson
,,,,,,,160,214a,2931,GIFS: Neural Implicit Function for General Shape Representation,Jianglong Ye; Yuntao Chen; Naiyan Wang; Xiaolong Wang
,,,,,,,161,215a,1714,Learning Deep Implicit Functions for 3D Shapes With Dynamic Code Clouds,Tianyang Li; Xin Wen; Yu-Shen Liu; Hua Su; Zhizhong Han
,,,,,,,162,216a,560,SPAMs: Structured Implicit Parametric Models,Pablo Palafox; Nikolaos Sarafianos; Tony Tung; Angela Dai
,,,,,,,163,217a,4980,Deblur-NeRF: Neural Radiance Fields From Blurry Images,Li Ma; Xiaoyu Li; Jing Liao; Qi Zhang; Xuan Wang; Jue Wang; Pedro V. Sander
,,,,,,,164,218a,2746,Panoptic Neural Fields: A Semantic Object-Aware Neural Scene Representation,Abhijit Kundu; Kyle Genova; Xiaoqi Yin; Alireza Fathi; Caroline Pantofaru; Leonidas J. Guibas; Andrea Tagliasacchi; Frank Dellaert; Thomas Funkhouser
,,,,,,,165,219a,4858,Depth-Supervised NeRF: Fewer Views and Faster Training for Free,Kangle Deng; Andrew Liu; Jun-Yan Zhu; Deva Ramanan
,,,,,,,166,220a,7537,Dense Depth Priors for Neural Radiance Fields From Sparse Input Views,Barbara Roessle; Jonathan T. Barron; Ben Mildenhall; Pratul P. Srinivasan; Matthias Nießner
